Timestamp,Object_Label,Confidence
2025-11-28 08:11:54.532059,person,0.84
2025-11-28 08:11:54.587573,person,0.84
2025-11-28 08:11:54.645228,person,0.82
2025-11-28 08:11:54.701736,person,0.83
2025-11-28 08:11:54.758670,person,0.80
2025-11-28 08:11:54.813758,person,0.81
2025-11-28 08:11:54.869423,person,0.83
2025-11-28 08:11:54.869423,person,0.52
2025-11-28 08:11:54.929015,person,0.82
2025-11-28 08:11:54.983810,person,0.86
2025-11-28 08:11:55.047519,person,0.85
2025-11-28 08:11:55.048524,person,0.67
2025-11-28 08:11:55.109900,person,0.85
2025-11-28 08:11:55.171106,person,0.83
2025-11-28 08:11:55.235906,person,0.84
2025-11-28 08:11:55.299546,person,0.83
2025-11-28 08:11:55.357526,person,0.85
2025-11-28 08:11:55.410913,person,0.87
2025-11-28 08:11:55.465970,person,0.89
2025-11-28 08:11:55.523584,person,0.87
2025-11-28 08:11:55.579218,person,0.88
2025-11-28 08:11:55.634498,person,0.87
2025-11-28 08:11:55.689602,person,0.87
2025-11-28 08:11:55.754843,person,0.89
2025-11-28 08:11:55.812499,person,0.92
2025-11-28 08:11:55.875125,person,0.92
2025-11-28 08:11:55.937750,person,0.91
2025-11-28 08:11:55.993239,person,0.89
2025-11-28 08:11:56.059619,person,0.86
2025-11-28 08:11:56.060627,person,0.72
2025-11-28 08:11:56.117805,person,0.89
2025-11-28 08:11:56.117805,person,0.77
2025-11-28 08:11:56.174540,person,0.87
2025-11-28 08:11:56.175541,person,0.75
2025-11-28 08:11:56.235660,person,0.87
2025-11-28 08:11:56.236660,person,0.80
2025-11-28 08:11:56.293334,person,0.89
2025-11-28 08:11:56.293334,person,0.86
2025-11-28 08:11:56.359611,person,0.90
2025-11-28 08:11:56.360621,person,0.82
2025-11-28 08:11:56.424302,person,0.91
2025-11-28 08:11:56.425300,person,0.82
2025-11-28 08:11:56.481427,person,0.89
2025-11-28 08:11:56.481427,person,0.77
2025-11-28 08:11:56.535962,person,0.90
2025-11-28 08:11:56.535962,person,0.58
2025-11-28 08:11:56.592667,person,0.89
2025-11-28 08:11:56.593667,person,0.57
2025-11-28 08:11:56.658799,person,0.88
2025-11-28 08:11:56.658799,person,0.69
2025-11-28 08:11:56.715018,person,0.87
2025-11-28 08:11:56.716017,person,0.67
2025-11-28 08:11:56.770196,person,0.85
2025-11-28 08:11:56.770196,person,0.70
2025-11-28 08:11:56.831460,person,0.85
2025-11-28 08:11:56.831460,person,0.66
2025-11-28 08:11:56.887580,person,0.86
2025-11-28 08:11:56.888588,person,0.60
2025-11-28 08:11:56.948363,person,0.88
2025-11-28 08:11:56.948363,person,0.71
2025-11-28 08:11:57.012992,person,0.85
2025-11-28 08:11:57.013992,person,0.83
2025-11-28 08:11:57.068064,person,0.87
2025-11-28 08:11:57.068064,person,0.73
2025-11-28 08:11:57.123591,person,0.87
2025-11-28 08:11:57.123591,person,0.75
2025-11-28 08:11:57.215226,person,0.87
2025-11-28 08:11:57.216227,person,0.61
2025-11-28 08:11:57.273063,person,0.86
2025-11-28 08:11:57.274065,person,0.61
2025-11-28 08:11:57.330730,person,0.88
2025-11-28 08:11:57.330730,person,0.59
2025-11-28 08:11:57.387343,person,0.90
2025-11-28 08:11:57.387343,person,0.56
